seconds,state,googleCalls,netflixCalls
1,0.00,1872,0
2,500000.00,838,0
3,500000.00,211201,0
4,500000.00,218456,0
5,500000.00,197032,0
6,500000.00,225564,0
7,500000.00,212346,0
8,500000.00,212567,0
9,500000.00,241286,0
10,500000.00,255998,0
11,500000.00,231467,0
12,500000.00,233107,0
13,500000.00,224713,0
14,500000.00,242306,0
15,500000.00,221997,0
16,500000.00,231486,0
17,500000.00,236827,0
18,0.00,211823,0
19,0.00,161107,0
20,0.00,154001,0
21,0.00,152458,0
22,0.00,151579,0
23,0.00,153574,0
24,0.00,127448,0
25,0.00,111654,0
26,0.00,87962,0
27,0.00,58363,0
28,0.00,18587,0
29,0.00,0,0
30,0.00,1,0
31,0.00,2,0
32,0.00,2,0
33,500000.00,5,0
34,500000.00,6,0
35,500000.00,82,0
36,500000.00,4934,0
37,0.00,166916,0
38,0.00,143992,0
39,0.00,108938,0
40,0.00,91903,0
41,0.00,80684,0
42,0.00,75250,0
43,0.00,67476,0
44,0.00,62726,0
45,0.00,58731,0
46,0.00,55652,0
47,0.00,29790,0
48,0.00,0,0
49,0.00,5,0
50,0.00,3,0
51,500000.00,5,0
52,0.00,7,0
53,0.00,24,0
54,0.00,31,0
55,0.00,52,0
56,0.00,96,0
57,500000.00,177602,0
58,500000.00,228177,0
59,500000.00,230092,0
60,500000.00,218858,0
61,500000.00,229489,0
62,500000.00,229177,0
63,500000.00,229978,0
64,500000.00,220455,0
65,500000.00,240618,0
66,500000.00,217587,0
67,500000.00,240745,0
68,500000.00,254817,0
69,500000.00,238452,0
70,500000.00,225359,0
71,500000.00,249706,0
72,0.00,137179,0
73,0.00,146832,0
74,0.00,152195,0
75,0.00,155030,0
76,0.00,154398,0
77,0.00,133872,0
78,0.00,113754,0
79,0.00,91743,0
80,0.00,64309,0
81,0.00,23565,0
82,0.00,1,0
83,0.00,3,0
84,0.00,3,0
85,0.00,3,0
86,0.00,4,0
87,0.00,11,0
88,0.00,5,0
89,0.00,19,0
90,500000.00,36003,0
91,500000.00,234609,0
92,500000.00,225843,0
93,500000.00,229106,0
94,500000.00,223559,0
95,500000.00,307045,0
96,500000.00,202342,0
97,500000.00,336140,0
98,500000.00,225139,0
99,500000.00,232851,0
100,500000.00,312688,0
101,500000.00,351889,0
102,0.00,183973,0
103,0.00,170096,0
104,0.00,171281,0
105,0.00,152215,0
106,0.00,162567,0
107,500000.00,349978,0
108,500000.00,202144,0
109,500000.00,216550,0
110,0.00,144117,0
111,0.00,131384,0
112,0.00,117686,0
113,0.00,122426,0
114,0.00,114591,0
115,0.00,112488,0
116,0.00,115413,0
117,0.00,97252,0
118,0.00,60705,0
119,0.00,23843,0
120,0.00,2,0
121,0.00,3,0
122,0.00,1,0
123,500000.00,3,0
124,500000.00,11,0
125,500000.00,63,0
126,500000.00,563,0
127,500000.00,16931,0
128,500000.00,178373,0
129,500000.00,242278,0
130,500000.00,234333,0
131,500000.00,246111,0
132,500000.00,242123,0
133,500000.00,219038,0
134,500000.00,222119,0
135,500000.00,214486,0
136,500000.00,221948,0
137,500000.00,225884,0
138,500000.00,225783,0
139,500000.00,255909,0
140,500000.00,308522,0
141,0.00,152326,0
142,0.00,140415,0
143,0.00,147485,0
144,0.00,139151,0
145,0.00,139454,0
146,0.00,122748,0
147,0.00,108537,0
148,0.00,91583,0
149,0.00,69800,0
150,0.00,30599,0
